dt,open_price,high,low,close_price,volume
2015-02-13 17:00:00,126.19,126.27,126.06,126.26,319834
2015-02-13 17:05:00,126.24,126.29,126.21,126.22,258876
2015-02-13 17:10:00,126.22,126.22,126.02,126.08,254507
2015-02-13 17:15:00,126.09,126.18,126.07,126.11,223910
2015-02-13 17:20:00,126.11,126.23,126.09,126.20,248284
2015-02-13 17:25:00,126.19,126.31,126.11,126.30,284810
2015-02-13 17:30:00,126.29,126.34,126.24,126.25,425645
2015-02-13 17:35:00,126.25,126.31,126.17,126.29,290736
2015-02-13 17:40:00,126.29,126.30,126.21,126.26,208343
2015-02-13 17:45:00,126.27,126.29,126.20,126.26,202429
2015-02-13 17:50:00,126.26,126.28,126.19,126.23,210881
2015-02-13 17:55:00,126.22,126.30,126.22,126.25,196548
2015-02-13 18:00:00,126.24,126.25,126.11,126.18,229865
2015-02-13 18:05:00,126.15,126.25,126.14,126.23,207911
2015-02-13 18:10:00,126.23,126.30,126.23,126.25,221252
2015-02-13 18:15:00,126.25,126.50,126.25,126.41,775941
2015-02-13 18:20:00,126.41,126.43,126.27,126.30,287548
2015-02-13 18:25:00,126.30,126.32,126.23,126.23,332110
2015-02-13 18:30:00,126.25,126.29,126.02,126.02,426124
2015-02-13 18:35:00,126.03,126.05,125.77,125.77,700047
2015-02-13 18:40:00,125.78,125.99,125.66,125.99,722718
2015-02-13 18:45:00,125.98,125.99,125.81,125.92,315770
2015-02-13 18:50:00,125.91,125.94,125.82,125.91,273030
2015-02-13 18:55:00,125.92,125.98,125.91,125.98,296700
2015-02-13 19:00:00,125.99,126.04,125.88,125.95,368110
2015-02-13 19:05:00,125.94,125.98,125.80,125.85,256814
2015-02-13 19:10:00,125.86,125.94,125.84,125.86,261922
2015-02-13 19:15:00,125.86,125.94,125.82,125.87,217139
2015-02-13 19:20:00,125.87,125.94,125.85,125.94,265130
2015-02-13 19:25:00,125.93,125.99,125.85,125.99,257560
2015-02-13 19:30:00,125.99,126.09,125.99,126.01,350352
2015-02-13 19:35:00,126.01,126.10,126.00,126.02,249372
2015-02-13 19:40:00,126.01,126.05,125.93,125.99,290668
2015-02-13 19:45:00,126.00,126.22,126.00,126.19,393695
2015-02-13 19:50:00,126.19,126.31,126.16,126.28,388989
2015-02-13 19:55:00,126.28,126.30,126.15,126.29,322066
2015-02-13 20:00:00,126.28,126.30,126.24,126.27,304522
2015-02-13 20:05:00,126.27,126.48,126.24,126.48,457504
2015-02-13 20:10:00,126.48,126.72,126.47,126.60,1070892
2015-02-13 20:15:00,126.59,126.69,126.52,126.56,465303
2015-02-13 20:20:00,126.56,126.60,126.46,126.58,421053
2015-02-13 20:25:00,126.59,126.73,126.53,126.73,542813
2015-02-13 20:30:00,126.74,126.80,126.64,126.65,648938
2015-02-13 20:35:00,126.66,126.83,126.64,126.82,529036
2015-02-13 20:40:00,126.81,126.93,126.81,126.91,836861
2015-02-13 20:45:00,126.92,127.13,126.91,127.12,1674410
2015-02-13 20:50:00,127.12,127.20,127.02,127.18,1631752
2015-02-13 20:55:00,127.18,127.23,127.03,127.05,1198908
2015-02-13 21:00:00,127.05,127.09,127.01,127.08,3339694
2015-02-17 14:30:00,127.49,127.49,127.40,127.46,797492
2015-02-17 14:35:00,127.48,127.89,127.20,127.63,2178228
2015-02-17 14:40:00,127.64,127.64,127.00,127.15,1952425
2015-02-17 14:45:00,127.18,127.48,127.03,127.03,1187414
2015-02-17 14:50:00,127.03,127.41,126.92,127.33,1306443
2015-02-17 14:55:00,127.33,127.63,127.31,127.61,1142186
